                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2373,                 3.8162,                0.99246,                0.00838,                      1,                0.31279,                0.14458,                0.88142,                 3.3563,                0.81273,             0.00023338,             0.00023338,             0.00023338
                      2,                0.90119,                 1.9019,                0.89625,                 0.0076,                      1,                 0.3666,                0.11841,                0.66529,                    3.1,                0.78226,             0.00048104,             0.00048104,             0.00048104
                      3,                0.80151,                 1.1786,                0.89268,                0.00744,                      1,                0.13887,                0.11345,                0.68446,                 3.0538,                0.81789,             0.00072622,             0.00072622,             0.00072622
                      4,                0.88136,                 1.1293,                0.89787,                0.98806,                0.46451,                0.99182,                0.78334,                0.83004,                 2.5323,                 0.8144,             0.00096892,             0.00096892,             0.00096892
                      5,                 0.8095,                 1.0398,                0.88847,                 0.9952,                0.31623,                0.99056,                0.78322,                0.78218,                 2.1584,                0.80068,              0.0012092,              0.0012092,              0.0012092
                      6,                0.85868,                  1.103,                0.92297,                      1,                0.54874,                0.99178,                0.72473,                0.94984,                 2.1108,                0.86728,              0.0014469,              0.0014469,              0.0014469
                      7,                0.96694,                 1.0644,                0.93079,                0.96853,                      1,                  0.995,                0.71867,                0.92076,                 1.6481,                0.90537,              0.0016175,              0.0016175,              0.0016175
                      8,                0.88633,                 1.0623,                0.92126,                0.98662,                0.98864,                0.99478,                0.79245,                0.80473,                 1.2332,                0.83954,              0.0016092,              0.0016092,              0.0016092
                      9,                0.79798,                0.95575,                 0.8898,                0.96504,                      1,                0.99457,                0.80722,                0.74561,                 1.0866,                0.84005,               0.001601,               0.001601,               0.001601
                     10,                0.77615,                0.95024,                0.89283,                0.95917,                0.98864,                0.99411,                0.78284,                0.79997,                0.75431,                0.84025,              0.0015927,              0.0015927,              0.0015927
                     11,                0.74654,                0.90736,                0.88636,                0.95923,                      1,                0.99267,                0.77884,                0.78694,                0.72499,                 0.8274,              0.0015845,              0.0015845,              0.0015845
                     12,                0.77701,                0.89548,                0.87978,                0.98308,                      1,                0.99478,                0.82589,                0.64551,                0.64262,                 0.8264,              0.0015762,              0.0015762,              0.0015762
                     13,                0.72176,                0.81049,                0.87419,                0.99575,                      1,                  0.995,                0.83317,                0.69375,                0.75126,                0.83376,               0.001568,               0.001568,               0.001568
                     14,                0.74132,                0.79682,                0.86597,                0.99796,                      1,                  0.995,                0.85972,                0.64219,                  0.678,                0.82336,              0.0015597,              0.0015597,              0.0015597
                     15,                0.77626,                0.79612,                0.87447,                0.99209,                0.99693,                  0.995,                0.83718,                0.63205,                0.63937,                0.83033,              0.0015515,              0.0015515,              0.0015515
                     16,                0.79479,                0.77919,                0.90663,                0.99786,                      1,                  0.995,                0.84151,                0.69484,                0.64939,                0.84153,              0.0015432,              0.0015432,              0.0015432
                     17,                0.74222,                0.75359,                0.88018,                0.99642,                      1,                  0.995,                0.84946,                 0.5985,                 0.6352,                0.83358,               0.001535,               0.001535,               0.001535
                     18,                0.68705,                0.76001,                0.87558,                0.99811,                      1,                  0.995,                0.83474,                0.66941,                0.63752,                0.84661,              0.0015267,              0.0015267,              0.0015267
                     19,                0.69088,                0.71291,                0.87688,                0.98654,                 0.9993,                0.99478,                0.84449,                0.64097,                0.58245,                0.83817,              0.0015185,              0.0015185,              0.0015185
                     20,                0.73291,                0.72557,                0.89692,                0.98266,                0.99083,                0.99478,                0.82073,                0.65794,                0.57902,                0.83749,              0.0015102,              0.0015102,              0.0015102
                     21,                0.73065,                0.69427,                0.89248,                0.99816,                0.96999,                  0.995,                 0.8293,                0.67165,                0.60572,                0.85327,               0.001502,               0.001502,               0.001502
                     22,                0.69832,                0.69976,                 0.8732,                 0.9981,                0.97109,                  0.995,                0.78274,                0.79488,                 0.6177,                0.88588,              0.0014937,              0.0014937,              0.0014937
                     23,                0.71806,                0.69365,                0.88099,                      1,                0.97297,                  0.995,                0.81346,                0.71145,                0.56789,                0.87009,              0.0014855,              0.0014855,              0.0014855
                     24,                0.69455,                0.69876,                0.88277,                0.99803,                0.96951,                  0.995,                0.81978,                0.68281,                0.57695,                 0.8552,              0.0014772,              0.0014772,              0.0014772
                     25,                0.64738,                0.64944,                   0.86,                0.97298,                0.97994,                0.98807,                0.84045,                0.59267,                0.55293,                0.83392,               0.001469,               0.001469,               0.001469
                     26,                0.67233,                0.63831,                0.86531,                0.95612,                0.99876,                0.98014,                0.81538,                0.63535,                0.57283,                0.83874,              0.0014607,              0.0014607,              0.0014607
                     27,                0.64116,                0.65633,                0.86039,                0.95551,                0.99883,                0.98592,                0.82493,                  0.674,                0.57105,                0.85239,              0.0014525,              0.0014525,              0.0014525
                     28,                0.64382,                0.60337,                0.85304,                0.95272,                0.99849,                0.98654,                0.84081,                0.61339,                0.55182,                0.83174,              0.0014442,              0.0014442,              0.0014442
                     29,                0.62339,                0.60138,                0.85353,                0.96545,                0.96677,                0.99291,                0.84552,                0.64354,                0.57533,                0.84339,               0.001436,               0.001436,               0.001436
                     30,                0.60277,                 0.5755,                0.85627,                0.96608,                0.96687,                0.98963,                0.84616,                 0.6126,                 0.5729,                0.83228,              0.0014277,              0.0014277,              0.0014277
                     31,                0.62889,                0.58674,                0.86594,                0.96377,                0.96678,                0.98653,                0.85023,                0.64237,                 0.5754,                0.82688,              0.0014195,              0.0014195,              0.0014195
                     32,                0.62711,                0.58011,                0.85773,                 0.9648,                0.96584,                0.98749,                0.85964,                0.56452,                0.51374,                0.81981,              0.0014112,              0.0014112,              0.0014112
                     33,                0.63383,                0.57175,                0.85707,                0.96772,                0.96044,                0.99311,                0.85879,                0.55214,                0.53012,                0.82594,              0.0014029,              0.0014029,              0.0014029
                     34,                0.63355,                0.57302,                0.84659,                0.93998,                      1,                0.99314,                0.85534,                0.55615,                0.52481,                0.82649,              0.0013947,              0.0013947,              0.0013947
                     35,                 0.6164,                0.55782,                0.84642,                      1,                0.96392,                  0.995,                0.84655,                0.58134,                0.50092,                0.82805,              0.0013864,              0.0013864,              0.0013864
                     36,                0.59445,                0.54435,                0.84478,                0.98196,                0.95593,                0.99413,                0.83943,                0.58484,                0.52035,                0.81633,              0.0013782,              0.0013782,              0.0013782
                     37,                0.60506,                0.53832,                0.84207,                 0.9581,                0.96582,                0.99413,                0.86701,                0.53768,                0.53645,                0.80913,              0.0013699,              0.0013699,              0.0013699
                     38,                0.62611,                0.51849,                0.85478,                0.96824,                0.96568,                0.99434,                0.86284,                0.54159,                0.50824,                0.81148,              0.0013617,              0.0013617,              0.0013617
                     39,                0.63156,                0.52326,                0.86069,                0.98677,                0.97272,                0.99478,                0.83186,                0.65321,                0.46084,                  0.838,              0.0013534,              0.0013534,              0.0013534
                     40,                 0.6456,                 0.5484,                0.86716,                0.98888,                0.97191,                0.99478,                0.82756,                0.62439,                0.48023,                 0.8447,              0.0013452,              0.0013452,              0.0013452
                     41,                0.62063,                0.52572,                  0.856,                0.96529,                0.96726,                0.99032,                0.82734,                0.59788,                 0.4608,                0.83352,              0.0013369,              0.0013369,              0.0013369
                     42,                0.58562,                0.50375,                 0.8569,                0.96672,                0.96682,                 0.9763,                0.82256,                0.59278,                0.48185,                0.82615,              0.0013287,              0.0013287,              0.0013287
                     43,                0.60835,                0.51089,                0.85055,                0.96803,                 0.9661,                0.96506,                0.82768,                0.58387,                0.45936,                0.82483,              0.0013204,              0.0013204,              0.0013204
                     44,                0.61707,                0.48963,                0.85726,                0.96796,                0.96557,                0.96468,                0.82366,                0.60774,                 0.4537,                 0.8245,              0.0013122,              0.0013122,              0.0013122
                     45,                0.57793,                0.49133,                0.83841,                0.94949,                0.99111,                0.97851,                0.84343,                0.56709,                0.44524,                0.81937,              0.0013039,              0.0013039,              0.0013039
                     46,                0.58621,                0.48876,                0.85538,                0.94751,                0.99473,                0.97306,                0.83767,                0.56242,                0.44567,                0.82113,              0.0012957,              0.0012957,              0.0012957
                     47,                0.63888,                0.51008,                0.85313,                0.94942,                0.99632,                0.96237,                0.82255,                0.56882,                0.46291,                0.81719,              0.0012874,              0.0012874,              0.0012874
                     48,                0.61431,                 0.4936,                0.83671,                0.95029,                      1,                0.98013,                0.83955,                0.52489,                0.42796,                 0.8097,              0.0012792,              0.0012792,              0.0012792
                     49,                0.60908,                0.50445,                0.85566,                0.94941,                0.98669,                0.98492,                0.82793,                0.57964,                0.44379,                0.82455,              0.0012709,              0.0012709,              0.0012709
                     50,                0.61055,                 0.4774,                0.85154,                0.96539,                0.96585,                0.98336,                0.85345,                0.54005,                0.44583,                0.81886,              0.0012627,              0.0012627,              0.0012627
                     51,                0.63096,                0.49855,                0.86076,                0.94975,                 0.9965,                0.99309,                0.86583,                0.57556,                0.44876,                0.82609,              0.0012544,              0.0012544,              0.0012544
                     52,                0.60489,                0.48666,                0.84576,                0.99609,                      1,                  0.995,                0.87494,                0.56583,                0.41978,                0.83301,              0.0012462,              0.0012462,              0.0012462
                     53,                0.56192,                0.47437,                0.84214,                0.99612,                      1,                  0.995,                0.86902,                0.55384,                0.40861,                0.83114,              0.0012379,              0.0012379,              0.0012379
                     54,                0.58004,                0.46045,                0.84915,                 0.9952,                      1,                  0.995,                0.86206,                0.57595,                0.40119,                0.83167,              0.0012297,              0.0012297,              0.0012297
                     55,                0.59073,                0.46115,                0.84363,                0.96674,                0.96729,                0.97399,                0.85156,                 0.5633,                0.43527,                0.82932,              0.0012214,              0.0012214,              0.0012214
                     56,                0.57951,                0.45444,                0.84394,                0.96678,                0.96704,                0.96342,                0.84321,                0.52031,                  0.415,                0.82033,              0.0012132,              0.0012132,              0.0012132
                     57,                0.60853,                0.47326,                0.85302,                0.96501,                0.96512,                0.94933,                 0.8196,                0.56689,                0.44892,                0.82276,              0.0012049,              0.0012049,              0.0012049
                     58,                0.58678,                 0.4562,                0.84073,                0.96643,                0.96609,                0.96416,                0.85028,                0.52793,                 0.4501,                0.82247,              0.0011967,              0.0011967,              0.0011967
                     59,                 0.6079,                0.44873,                0.84659,                0.94909,                 0.9998,                0.96438,                0.82222,                0.54722,                0.42941,                0.81905,              0.0011884,              0.0011884,              0.0011884
                     60,                0.56726,                0.44011,                0.84592,                0.94626,                      1,                0.97032,                0.85044,                0.51998,                0.40442,                0.81084,              0.0011802,              0.0011802,              0.0011802
                     61,                0.59853,                0.43766,                0.85401,                 0.9462,                      1,                0.97513,                0.84057,                0.56438,                0.41981,                0.81663,              0.0011719,              0.0011719,              0.0011719
                     62,                 0.5649,                  0.434,                0.83821,                0.94674,                      1,                0.98157,                0.83932,                0.61985,                0.42582,                0.82594,              0.0011636,              0.0011636,              0.0011636
                     63,                0.56105,                0.41733,                0.83965,                0.94785,                      1,                0.99204,                0.86494,                0.55167,                0.41056,                0.81477,              0.0011554,              0.0011554,              0.0011554
                     64,                0.58223,                0.43303,                0.84611,                0.94941,                0.99511,                0.99152,                0.84418,                0.61695,                0.46106,                0.83535,              0.0011471,              0.0011471,              0.0011471
                     65,                0.57585,                0.43962,                0.84862,                0.99546,                0.96683,                  0.995,                 0.8654,                0.55318,                0.42343,                0.82659,              0.0011389,              0.0011389,              0.0011389
                     66,                0.57416,                0.42104,                0.85374,                0.99807,                0.96712,                  0.995,                 0.8647,                0.53247,                0.38408,                0.82398,              0.0011306,              0.0011306,              0.0011306
                     67,                0.55743,                0.42164,                0.83122,                0.99678,                0.96766,                  0.995,                0.85316,                0.56374,                0.39083,                0.83399,              0.0011224,              0.0011224,              0.0011224
                     68,                0.58194,                0.43787,                0.84268,                0.94963,                0.99968,                0.99433,                0.86433,                0.53517,                0.39169,                0.82409,              0.0011141,              0.0011141,              0.0011141
                     69,                0.55744,                 0.4139,                0.83558,                0.96528,                0.96718,                0.98398,                0.84243,                0.60844,                0.43594,                0.84015,              0.0011059,              0.0011059,              0.0011059
                     70,                0.54692,                0.40639,                0.83471,                0.96482,                0.96685,                 0.9805,                0.85862,                0.56841,                0.44259,                0.83309,              0.0010976,              0.0010976,              0.0010976
                     71,                0.58007,                0.42047,                0.85415,                0.96663,                0.96718,                0.97637,                0.85682,                0.55026,                0.43135,                 0.8321,              0.0010894,              0.0010894,              0.0010894
                     72,                0.59708,                0.42476,                0.83833,                0.96694,                0.96819,                0.97737,                0.83137,                0.64075,                0.43043,                0.84485,              0.0010811,              0.0010811,              0.0010811
                     73,                0.54705,                0.40292,                0.83154,                0.96479,                0.96512,                 0.9757,                0.85647,                0.58814,                0.45166,                0.83211,              0.0010729,              0.0010729,              0.0010729
                     74,                 0.5391,                0.40486,                 0.8289,                0.96355,                0.96512,                0.97517,                0.83925,                0.63439,                0.46855,                0.84083,              0.0010646,              0.0010646,              0.0010646
                     75,                0.55461,                0.41604,                0.83948,                  0.966,                0.96768,                0.97476,                0.83571,                0.62266,                0.45461,                0.83952,              0.0010564,              0.0010564,              0.0010564
                     76,                0.56132,                0.41266,                0.86455,                0.96537,                0.96746,                0.97716,                0.82066,                0.65053,                0.43786,                0.84985,              0.0010481,              0.0010481,              0.0010481
                     77,                0.52783,                0.38495,                0.84042,                0.96602,                0.96785,                0.98129,                0.82119,                0.67046,                0.41671,                0.86028,              0.0010399,              0.0010399,              0.0010399
                     78,                0.54468,                0.40331,                0.83657,                0.98967,                0.97098,                  0.995,                0.85622,                0.62535,                0.38606,                 0.8485,              0.0010316,              0.0010316,              0.0010316
                     79,                0.57537,                0.40632,                0.85823,                0.99574,                      1,                  0.995,                0.85946,                0.61081,                0.35448,                0.83905,              0.0010234,              0.0010234,              0.0010234
                     80,                 0.5959,                0.41281,                0.85339,                0.99112,                      1,                  0.995,                0.83717,                0.64879,                0.37452,                0.84791,              0.0010151,              0.0010151,              0.0010151
                     81,                0.56716,                0.40839,                0.85237,                 0.9864,                      1,                  0.995,                0.85041,                0.60773,                0.37122,                 0.8404,              0.0010069,              0.0010069,              0.0010069
                     82,                0.50868,                0.39091,                0.82982,                0.98452,                0.97005,                0.99456,                0.84787,                0.63533,                0.38441,                0.84248,             0.00099862,             0.00099862,             0.00099862
